ITRN	18.69	11.68
ITWO	379.0	32.94
IVAC	30.9	9.0
IXYS	90.75	4.88
JACK	79.54	36.5
JACO	31.25	8.62
JAKK	44.0	25.29
JASO	76.5	3.59
JAX	15.39	2.15
JAXB	38.99	10.3
JAZZ	18.0	6.35
JBLU	70.72	35.89
JCOM	63.0	3.95
JFBC	51.9	17.28
JFBI	15.09	13.45
JJSF	64.68	58.44
JOYG	90.0	41.09
JRJC	47.68	7.26
JST	52.88	11.99
JXSB	30.0	16.25
KALU	89.24	35.45
KAMN	39.31	25.1
KCAP	20.09	16.22
KCLI	100.0	42.86
KELYB	58.75	24.56
KEYN	177.0	33.38
KFFB	15.0	11.44
KINS	593.0	0.88
KIRK	22.4	11.7
KLAC	139.75	55.69
KLIC	90.75	9.12
KMGB	28.25	2.7
KNDL	52.0	4.51
KNSY	38.15	19.4
KONA	21.38	16.65
KONG	16.16	3.99
KOOL	6.78	1.72
KSW	8.65	4.01
KTCC	18.25	3.25
KTEC	39.47	13.59
KTII	170.0	9.25
KTOS	163.5	4.03
LABL	43.4	22.44
LACO	30.1	2.09
LAKE	27.56	8.94
LAWS	54.25	27.62
LBCP	11.52	8.6
LBIX	7.09	3.19
LBIXD	7.09	0.16
LBTYB	53.56	48.74
LCAPA	129.72	15.2
LCRD	30.3	16.3
LDSH	60.0	15.76
LECO	86.97	26.34
LEDR	20.29	15.3
LEGC	16.41	10.37
LGCY	30.42	13.0
LGND	26.5	10.96
LIHR	57.8	16.43
LIME	12.5	6.0
LIMS	14.13	3.72
LINTB	25.8	22.86
LIWA	12.69	10.7
LJPC	12.25	6.94
LKFN	61.25	19.62
LLNW	24.33	2.5
LLTC	111.5	22.14
LMIA	30.91	10.0
LMLP	76.0	8.47
LMNX	64.12	9.07
LNCR	86.37	23.5
LNDC	20.75	3.8
LNET	38.11	29.0
LNUX	320.0	0.98
LOCM	31.77	6.25
LOGC	16.5	6.25
LOGI	76.0	39.43
LOGM	23.5	17.99
LOJN	29.0	8.44
LOOK	72.0	2.19
LORL	53.1	32.69
LPHI	52.9	8.9
LPSB	10.06	6.95
LPSN	9.5	4.9
LQDT	24.23	8.83
LRCX	165.0	13.37
LSBX	21.89	16.44
LSCC	83.38	18.12
LSTR	110.3	52.42
LSTZB	50.34	47.15
LTON	19.5	5.24
LTRE	78.87	24.0
LTXC	52.25	3.55
LWAY	39.27	5.12
MAIL	10.89	3.89
MAIN	16.7	11.67
MARPS	45.0	17.75
MATK	73.36	6.0
MATW	58.55	30.25
MAXY	186.0	8.95
MBLX	29.76	17.0
MBND	10.13	1.27
MBRX	9.79	0.36
MBTF	42.62	19.47
MBVT	37.85	14.6
MBWM	48.85	3.42
MCBC	40.0	35.48
MCBI	33.2	10.5
MCRI	44.0	14.84
MCRS	78.41	34.0
MDAS	24.74	23.8
MDCA	17.63	10.19
MDCI	38.41	18.46
MDCO	36.18	23.19
MDH	11.18	2.63
MDRX	89.62	7.81
MDSO	19.73	17.06
MDTH	34.61	23.25
MDTL	35.9	30.0
MDVN	39.66	1.44
MEAD	79.0	11.0
MEDQ	51.25	6.13
MEDW	18.2	14.0
MELA	12.24	7.07
MELI	81.17	45.6
MEOH	33.2	17.06
MERC	27.64	8.09
MFLR	27.75	15.5
MFLX	67.22	27.66
MGPI	45.75	24.61
MGRC	47.9	19.25
MGYR	15.2	4.21
MHGC	25.93	13.91
MHLD	10.0	7.25
MIGP	27.0	12.33
MINI	58.07	26.04
MIPI	15.8	6.69
MIPS	111.62	3.88
MITI	9.33	6.23
MKTY	101.0	4.56
MLHR	73.77	27.48
MLNX	24.85	13.3
MLVF	11.2	9.49
MNRTP	25.4	16.05
MNTX	8.43	3.39
MOFG	19.24	18.25
MOLXA	47.25	31.17
MOVE	138.0	5.59
MPAA	20.5	2.38
MPAC	18.6	2.0
MPB	33.0	24.9
MRCY	68.12	12.82
MRGE	30.05	0.73
MRLN	24.55	6.61
MROE	18.77	15.6
MRTN	31.67	16.65
MRVL	109.75	11.76
MSEX	39.5	21.37
MSFG	64.94	16.35
MSGNV	23.04	19.71
MSNQ	43.5	11.7
MSON	23.5	4.44
MSSR	30.98	7.2
MSW	14.9	7.75
MTMC	19.81	1.28
MTRX	31.27	9.43
MTSC	48.38	46.8
MTSM	15.85	12.44
MTTT	11.83	10.14
MTTX	12.61	9.63
MTXX	36.06	4.6
MVIS	68.5	14.63
MWIV	45.11	35.5
MXIM	95.88	13.9
MYGN	232.12	27.88
MYRG	23.5	11.26
NADX	31.63	17.75
NAII	26.62	5.05
NANX	22.06	5.96
NATH	20.0	5.94
NATL	37.01	26.4
NATR	9.6	6.13
